parameter,description,type,hex_address,address,resolution,alterability
Segment.49.CallProgram,Call Program,uint8,0x26b3,9907,Not applicable,RW
Segment.49.CallCycles,Call Cycles,int16,0x26b4,9908,Not applicable,RW
Segment.49.EventOutput,Event Output,uint8,0x26b4,9908,Not applicable,RW
Segment.49.HoldbackType,Holdback Type,uint8,0x26b5,9909,Not applicable,RW
Segment.49.HoldbackValue,Holdback Value,float32,0x26b6,9910,Same as Programmer.Run.PVInput,RW
Segment.50.SegmentType,Segment Type,uint8,0x26b8,9912,Not applicable,RW
Segment.50.TargetSetpoint,Target Setpoint,float32,0x26b9,9913,Same as Programmer.Run.PVInput,RW
Segment.50.RampRate,Ramp Rate,float32,0x26ba,9914,Same as Programmer.Setup.RateResolution,RW
Segment.50.TimeToTarget,Time To Target,time_t,0x26ba,9914,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.50.Duration,Dwell Duration,time_t,0x26ba,9914,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.50.CallProgram,Call Program,uint8,0x26bb,9915,Not applicable,RW
Segment.50.CallCycles,Call Cycles,int16,0x26bc,9916,Not applicable,RW
Segment.50.EventOutput,Event Output,uint8,0x26bc,9916,Not applicable,RW
Segment.50.HoldbackType,Holdback Type,uint8,0x26bd,9917,Not applicable,RW
Segment.50.HoldbackValue,Holdback Value,float32,0x26be,9918,Same as Programmer.Run.PVInput,RW
Program.12.HoldbackType,Holdback Type,uint8,0x26c0,9920,Not applicable,RW
Program.12.HoldbackValue,Holdback Value,float32,0x26c1,9921,Same as Programmer.Run.PVInput,RW
Program.12.RampUnits,Ramp Units,uint8,0x26c2,9922,Not applicable,RW
Program.12.DwellUnits,Dwell Units,uint8,0x26c3,9923,Not applicable,RW
Program.12.ProgramCycles,Program Cycles,int16,0x26c4,9924,Not applicable,RW
Program.12.HoldbackStyle,Holdback Style,uint8,0x26c5,9925,Not applicable,RW
Program.12.ProgramEndType,Program End Type,uint8,0x26c6,9926,Not applicable,RW
Program.12.NumConfSegments,Number of configured segments,uint8,0x26c7,9927,Not applicable,RO
Segment.67.SegmentType,Segment Type,uint8,0x26c8,9928,Not applicable,RW
Segment.67.TargetSetpoint,Target Setpoint,float32,0x26c9,9929,Same as Programmer.Run.PVInput,RW
Segment.67.RampRate,Ramp Rate,float32,0x26ca,9930,Same as Programmer.Setup.RateResolution,RW
Segment.67.TimeToTarget,Time To Target,time_t,0x26ca,9930,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.67.Duration,Dwell Duration,time_t,0x26ca,9930,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.67.CallProgram,Call Program,uint8,0x26cb,9931,Not applicable,RW
Segment.67.CallCycles,Call Cycles,int16,0x26cc,9932,Not applicable,RW
Segment.67.EventOutput,Event Output,uint8,0x26cc,9932,Not applicable,RW
Segment.67.HoldbackType,Holdback Type,uint8,0x26cd,9933,Not applicable,RW
Segment.67.HoldbackValue,Holdback Value,float32,0x26ce,9934,Same as Programmer.Run.PVInput,RW
Segment.68.SegmentType,Segment Type,uint8,0x26d0,9936,Not applicable,RW
Segment.68.TargetSetpoint,Target Setpoint,float32,0x26d1,9937,Same as Programmer.Run.PVInput,RW
Segment.68.RampRate,Ramp Rate,float32,0x26d2,9938,Same as Programmer.Setup.RateResolution,RW
Segment.68.TimeToTarget,Time To Target,time_t,0x26d2,9938,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.68.Duration,Dwell Duration,time_t,0x26d2,9938,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.68.CallProgram,Call Program,uint8,0x26d3,9939,Not applicable,RW
Segment.68.CallCycles,Call Cycles,int16,0x26d4,9940,Not applicable,RW
Segment.68.EventOutput,Event Output,uint8,0x26d4,9940,Not applicable,RW
Segment.68.HoldbackType,Holdback Type,uint8,0x26d5,9941,Not applicable,RW
Segment.68.HoldbackValue,Holdback Value,float32,0x26d6,9942,Same as Programmer.Run.PVInput,RW
Segment.69.SegmentType,Segment Type,uint8,0x26d8,9944,Not applicable,RW
Segment.69.TargetSetpoint,Target Setpoint,float32,0x26d9,9945,Same as Programmer.Run.PVInput,RW
Segment.69.RampRate,Ramp Rate,float32,0x26da,9946,Same as Programmer.Setup.RateResolution,RW
Segment.69.TimeToTarget,Time To Target,time_t,0x26da,9946,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.69.Duration,Dwell Duration,time_t,0x26da,9946,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.69.CallProgram,Call Program,uint8,0x26db,9947,Not applicable,RW
Segment.69.CallCycles,Call Cycles,int16,0x26dc,9948,Not applicable,RW
Segment.69.EventOutput,Event Output,uint8,0x26dc,9948,Not applicable,RW
Segment.69.HoldbackType,Holdback Type,uint8,0x26dd,9949,Not applicable,RW
Segment.69.HoldbackValue,Holdback Value,float32,0x26de,9950,Same as Programmer.Run.PVInput,RW
Segment.70.SegmentType,Segment Type,uint8,0x26e0,9952,Not applicable,RW
Segment.70.TargetSetpoint,Target Setpoint,float32,0x26e1,9953,Same as Programmer.Run.PVInput,RW
Segment.70.RampRate,Ramp Rate,float32,0x26e2,9954,Same as Programmer.Setup.RateResolution,RW
Segment.70.TimeToTarget,Time To Target,time_t,0x26e2,9954,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.70.Duration,Dwell Duration,time_t,0x26e2,9954,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.70.CallProgram,Call Program,uint8,0x26e3,9955,Not applicable,RW
Segment.70.CallCycles,Call Cycles,int16,0x26e4,9956,Not applicable,RW
Segment.70.EventOutput,Event Output,uint8,0x26e4,9956,Not applicable,RW
Segment.70.HoldbackType,Holdback Type,uint8,0x26e5,9957,Not applicable,RW
Segment.70.HoldbackValue,Holdback Value,float32,0x26e6,9958,Same as Programmer.Run.PVInput,RW
Segment.71.SegmentType,Segment Type,uint8,0x26e8,9960,Not applicable,RW
Segment.71.TargetSetpoint,Target Setpoint,float32,0x26e9,9961,Same as Programmer.Run.PVInput,RW
Segment.71.RampRate,Ramp Rate,float32,0x26ea,9962,Same as Programmer.Setup.RateResolution,RW
Segment.71.TimeToTarget,Time To Target,time_t,0x26ea,9962,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.71.Duration,Dwell Duration,time_t,0x26ea,9962,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.71.CallProgram,Call Program,uint8,0x26eb,9963,Not applicable,RW
Segment.71.CallCycles,Call Cycles,int16,0x26ec,9964,Not applicable,RW
Segment.71.EventOutput,Event Output,uint8,0x26ec,9964,Not applicable,RW
Segment.71.HoldbackType,Holdback Type,uint8,0x26ed,9965,Not applicable,RW
Segment.71.HoldbackValue,Holdback Value,float32,0x26ee,9966,Same as Programmer.Run.PVInput,RW
Segment.72.SegmentType,Segment Type,uint8,0x26f0,9968,Not applicable,RW
Segment.72.TargetSetpoint,Target Setpoint,float32,0x26f1,9969,Same as Programmer.Run.PVInput,RW
Segment.72.RampRate,Ramp Rate,float32,0x26f2,9970,Same as Programmer.Setup.RateResolution,RW
Segment.72.TimeToTarget,Time To Target,time_t,0x26f2,9970,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.72.Duration,Dwell Duration,time_t,0x26f2,9970,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.72.CallProgram,Call Program,uint8,0x26f3,9971,Not applicable,RW
Segment.72.CallCycles,Call Cycles,int16,0x26f4,9972,Not applicable,RW
Segment.72.EventOutput,Event Output,uint8,0x26f4,9972,Not applicable,RW
Segment.72.HoldbackType,Holdback Type,uint8,0x26f5,9973,Not applicable,RW
Segment.72.HoldbackValue,Holdback Value,float32,0x26f6,9974,Same as Programmer.Run.PVInput,RW
Segment.73.SegmentType,Segment Type,uint8,0x26f8,9976,Not applicable,RW
Segment.73.TargetSetpoint,Target Setpoint,float32,0x26f9,9977,Same as Programmer.Run.PVInput,RW
Segment.73.RampRate,Ramp Rate,float32,0x26fa,9978,Same as Programmer.Setup.RateResolution,RW
Segment.73.TimeToTarget,Time To Target,time_t,0x26fa,9978,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.73.Duration,Dwell Duration,time_t,0x26fa,9978,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.73.CallProgram,Call Program,uint8,0x26fb,9979,Not applicable,RW
Segment.73.CallCycles,Call Cycles,int16,0x26fc,9980,Not applicable,RW
Segment.73.EventOutput,Event Output,uint8,0x26fc,9980,Not applicable,RW
Segment.73.HoldbackType,Holdback Type,uint8,0x26fd,9981,Not applicable,RW
Segment.73.HoldbackValue,Holdback Value,float32,0x26fe,9982,Same as Programmer.Run.PVInput,RW
Segment.74.SegmentType,Segment Type,uint8,0x2700,9984,Not applicable,RW
Segment.74.TargetSetpoint,Target Setpoint,float32,0x2701,9985,Same as Programmer.Run.PVInput,RW
Segment.74.RampRate,Ramp Rate,float32,0x2702,9986,Same as Programmer.Setup.RateResolution,RW
Segment.74.TimeToTarget,Time To Target,time_t,0x2702,9986,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.74.Duration,Dwell Duration,time_t,0x2702,9986,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.74.CallProgram,Call Program,uint8,0x2703,9987,Not applicable,RW
Segment.74.CallCycles,Call Cycles,int16,0x2704,9988,Not applicable,RW
Segment.74.EventOutput,Event Output,uint8,0x2704,9988,Not applicable,RW
Segment.74.HoldbackType,Holdback Type,uint8,0x2705,9989,Not applicable,RW
Segment.74.HoldbackValue,Holdback Value,float32,0x2706,9990,Same as Programmer.Run.PVInput,RW
Segment.75.SegmentType,Segment Type,uint8,0x2708,9992,Not applicable,RW
Segment.75.TargetSetpoint,Target Setpoint,float32,0x2709,9993,Same as Programmer.Run.PVInput,RW
Segment.75.RampRate,Ramp Rate,float32,0x270a,9994,Same as Programmer.Setup.RateResolution,RW
Segment.75.TimeToTarget,Time To Target,time_t,0x270a,9994,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.75.Duration,Dwell Duration,time_t,0x270a,9994,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.75.CallProgram,Call Program,uint8,0x270b,9995,Not applicable,RW
Segment.75.CallCycles,Call Cycles,int16,0x270c,9996,Not applicable,RW
Segment.75.EventOutput,Event Output,uint8,0x270c,9996,Not applicable,RW
Segment.75.HoldbackType,Holdback Type,uint8,0x270d,9997,Not applicable,RW
Segment.75.HoldbackValue,Holdback Value,float32,0x270e,9998,Same as Programmer.Run.PVInput,RW
Program.13.HoldbackType,Holdback Type,uint8,0x2710,10000,Not applicable,RW
Program.13.HoldbackValue,Holdback Value,float32,0x2711,10001,Same as Programmer.Run.PVInput,RW
Program.13.RampUnits,Ramp Units,uint8,0x2712,10002,Not applicable,RW
Program.13.DwellUnits,Dwell Units,uint8,0x2713,10003,Not applicable,RW
Program.13.ProgramCycles,Program Cycles,int16,0x2714,10004,Not applicable,RW
Program.13.HoldbackStyle,Holdback Style,uint8,0x2715,10005,Not applicable,RW
Program.13.ProgramEndType,Program End Type,uint8,0x2716,10006,Not applicable,RW
Program.13.NumConfSegments,Number of configured segments,uint8,0x2717,10007,Not applicable,RO
Segment.92.SegmentType,Segment Type,uint8,0x2718,10008,Not applicable,RW
Segment.92.TargetSetpoint,Target Setpoint,float32,0x2719,10009,Same as Programmer.Run.PVInput,RW
Segment.92.RampRate,Ramp Rate,float32,0x271a,10010,Same as Programmer.Setup.RateResolution,RW
Segment.92.TimeToTarget,Time To Target,time_t,0x271a,10010,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.92.Duration,Dwell Duration,time_t,0x271a,10010,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.92.CallProgram,Call Program,uint8,0x271b,10011,Not applicable,RW
Segment.92.CallCycles,Call Cycles,int16,0x271c,10012,Not applicable,RW
Segment.92.EventOutput,Event Output,uint8,0x271c,10012,Not applicable,RW
Segment.92.HoldbackType,Holdback Type,uint8,0x271d,10013,Not applicable,RW
Segment.92.HoldbackValue,Holdback Value,float32,0x271e,10014,Same as Programmer.Run.PVInput,RW
Segment.93.SegmentType,Segment Type,uint8,0x2720,10016,Not applicable,RW
Segment.93.TargetSetpoint,Target Setpoint,float32,0x2721,10017,Same as Programmer.Run.PVInput,RW
Segment.93.RampRate,Ramp Rate,float32,0x2722,10018,Same as Programmer.Setup.RateResolution,RW
Segment.93.TimeToTarget,Time To Target,time_t,0x2722,10018,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.93.Duration,Dwell Duration,time_t,0x2722,10018,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.93.CallProgram,Call Program,uint8,0x2723,10019,Not applicable,RW
Segment.93.CallCycles,Call Cycles,int16,0x2724,10020,Not applicable,RW
Segment.93.EventOutput,Event Output,uint8,0x2724,10020,Not applicable,RW
Segment.93.HoldbackType,Holdback Type,uint8,0x2725,10021,Not applicable,RW
Segment.93.HoldbackValue,Holdback Value,float32,0x2726,10022,Same as Programmer.Run.PVInput,RW
Segment.94.SegmentType,Segment Type,uint8,0x2728,10024,Not applicable,RW
Segment.94.TargetSetpoint,Target Setpoint,float32,0x2729,10025,Same as Programmer.Run.PVInput,RW
Segment.94.RampRate,Ramp Rate,float32,0x272a,10026,Same as Programmer.Setup.RateResolution,RW
Segment.94.TimeToTarget,Time To Target,time_t,0x272a,10026,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.94.Duration,Dwell Duration,time_t,0x272a,10026,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.94.CallProgram,Call Program,uint8,0x272b,10027,Not applicable,RW
Segment.94.CallCycles,Call Cycles,int16,0x272c,10028,Not applicable,RW
Segment.94.EventOutput,Event Output,uint8,0x272c,10028,Not applicable,RW
Segment.94.HoldbackType,Holdback Type,uint8,0x272d,10029,Not applicable,RW
Segment.94.HoldbackValue,Holdback Value,float32,0x272e,10030,Same as Programmer.Run.PVInput,RW
Segment.95.SegmentType,Segment Type,uint8,0x2730,10032,Not applicable,RW
Segment.95.TargetSetpoint,Target Setpoint,float32,0x2731,10033,Same as Programmer.Run.PVInput,RW
Segment.95.RampRate,Ramp Rate,float32,0x2732,10034,Same as Programmer.Setup.RateResolution,RW
Segment.95.TimeToTarget,Time To Target,time_t,0x2732,10034,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.95.Duration,Dwell Duration,time_t,0x2732,10034,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.95.CallProgram,Call Program,uint8,0x2733,10035,Not applicable,RW
Segment.95.CallCycles,Call Cycles,int16,0x2734,10036,Not applicable,RW
Segment.95.EventOutput,Event Output,uint8,0x2734,10036,Not applicable,RW
Segment.95.HoldbackType,Holdback Type,uint8,0x2735,10037,Not applicable,RW
Segment.95.HoldbackValue,Holdback Value,float32,0x2736,10038,Same as Programmer.Run.PVInput,RW
Segment.96.SegmentType,Segment Type,uint8,0x2738,10040,Not applicable,RW
Segment.96.TargetSetpoint,Target Setpoint,float32,0x2739,10041,Same as Programmer.Run.PVInput,RW
Segment.96.RampRate,Ramp Rate,float32,0x273a,10042,Same as Programmer.Setup.RateResolution,RW
Segment.96.TimeToTarget,Time To Target,time_t,0x273a,10042,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.96.Duration,Dwell Duration,time_t,0x273a,10042,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.96.CallProgram,Call Program,uint8,0x273b,10043,Not applicable,RW
Segment.96.CallCycles,Call Cycles,int16,0x273c,10044,Not applicable,RW
Segment.96.EventOutput,Event Output,uint8,0x273c,10044,Not applicable,RW
Segment.96.HoldbackType,Holdback Type,uint8,0x273d,10045,Not applicable,RW
Segment.96.HoldbackValue,Holdback Value,float32,0x273e,10046,Same as Programmer.Run.PVInput,RW
Segment.97.SegmentType,Segment Type,uint8,0x2740,10048,Not applicable,RW
Segment.97.TargetSetpoint,Target Setpoint,float32,0x2741,10049,Same as Programmer.Run.PVInput,RW
Segment.97.RampRate,Ramp Rate,float32,0x2742,10050,Same as Programmer.Setup.RateResolution,RW
Segment.97.TimeToTarget,Time To Target,time_t,0x2742,10050,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.97.Duration,Dwell Duration,time_t,0x2742,10050,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.97.CallProgram,Call Program,uint8,0x2743,10051,Not applicable,RW
Segment.97.CallCycles,Call Cycles,int16,0x2744,10052,Not applicable,RW
Segment.97.EventOutput,Event Output,uint8,0x2744,10052,Not applicable,RW
Segment.97.HoldbackType,Holdback Type,uint8,0x2745,10053,Not applicable,RW
Segment.97.HoldbackValue,Holdback Value,float32,0x2746,10054,Same as Programmer.Run.PVInput,RW
Segment.98.SegmentType,Segment Type,uint8,0x2748,10056,Not applicable,RW
Segment.98.TargetSetpoint,Target Setpoint,float32,0x2749,10057,Same as Programmer.Run.PVInput,RW
Segment.98.RampRate,Ramp Rate,float32,0x274a,10058,Same as Programmer.Setup.RateResolution,RW
Segment.98.TimeToTarget,Time To Target,time_t,0x274a,10058,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.98.Duration,Dwell Duration,time_t,0x274a,10058,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.98.CallProgram,Call Program,uint8,0x274b,10059,Not applicable,RW
Segment.98.CallCycles,Call Cycles,int16,0x274c,10060,Not applicable,RW
Segment.98.EventOutput,Event Output,uint8,0x274c,10060,Not applicable,RW
Segment.98.HoldbackType,Holdback Type,uint8,0x274d,10061,Not applicable,RW
Segment.98.HoldbackValue,Holdback Value,float32,0x274e,10062,Same as Programmer.Run.PVInput,RW
Segment.99.SegmentType,Segment Type,uint8,0x2750,10064,Not applicable,RW
Segment.99.TargetSetpoint,Target Setpoint,float32,0x2751,10065,Same as Programmer.Run.PVInput,RW
Segment.99.RampRate,Ramp Rate,float32,0x2752,10066,Same as Programmer.Setup.RateResolution,RW
Segment.99.TimeToTarget,Time To Target,time_t,0x2752,10066,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.99.Duration,Dwell Duration,time_t,0x2752,10066,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.99.CallProgram,Call Program,uint8,0x2753,10067,Not applicable,RW
Segment.99.CallCycles,Call Cycles,int16,0x2754,10068,Not applicable,RW
Segment.99.EventOutput,Event Output,uint8,0x2754,10068,Not applicable,RW
Segment.99.HoldbackType,Holdback Type,uint8,0x2755,10069,Not applicable,RW
Segment.99.HoldbackValue,Holdback Value,float32,0x2756,10070,Same as Programmer.Run.PVInput,RW
Segment.100.SegmentType,Segment Type,uint8,0x2758,10072,Not applicable,RW
Segment.100.TargetSetpoint,Target Setpoint,float32,0x2759,10073,Same as Programmer.Run.PVInput,RW
Segment.100.RampRate,Ramp Rate,float32,0x275a,10074,Same as Programmer.Setup.RateResolution,RW
Segment.100.TimeToTarget,Time To Target,time_t,0x275a,10074,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.100.Duration,Dwell Duration,time_t,0x275a,10074,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.100.CallProgram,Call Program,uint8,0x275b,10075,Not applicable,RW
Segment.100.CallCycles,Call Cycles,int16,0x275c,10076,Not applicable,RW
Segment.100.EventOutput,Event Output,uint8,0x275c,10076,Not applicable,RW
Segment.100.HoldbackType,Holdback Type,uint8,0x275d,10077,Not applicable,RW
Segment.100.HoldbackValue,Holdback Value,float32,0x275e,10078,Same as Programmer.Run.PVInput,RW
Program.14.HoldbackType,Holdback Type,uint8,0x2760,10080,Not applicable,RW
Program.14.HoldbackValue,Holdback Value,float32,0x2761,10081,Same as Programmer.Run.PVInput,RW
Program.14.RampUnits,Ramp Units,uint8,0x2762,10082,Not applicable,RW
Program.14.DwellUnits,Dwell Units,uint8,0x2763,10083,Not applicable,RW
Program.14.ProgramCycles,Program Cycles,int16,0x2764,10084,Not applicable,RW
Program.14.HoldbackStyle,Holdback Style,uint8,0x2765,10085,Not applicable,RW
Program.14.ProgramEndType,Program End Type,uint8,0x2766,10086,Not applicable,RW
Program.14.NumConfSegments,Number of configured segments,uint8,0x2767,10087,Not applicable,RO
Segment.117.SegmentType,Segment Type,uint8,0x2768,10088,Not applicable,RW
Segment.117.TargetSetpoint,Target Setpoint,float32,0x2769,10089,Same as Programmer.Run.PVInput,RW
Segment.117.RampRate,Ramp Rate,float32,0x276a,10090,Same as Programmer.Setup.RateResolution,RW
Segment.117.TimeToTarget,Time To Target,time_t,0x276a,10090,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.117.Duration,Dwell Duration,time_t,0x276a,10090,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.117.CallProgram,Call Program,uint8,0x276b,10091,Not applicable,RW
Segment.117.CallCycles,Call Cycles,int16,0x276c,10092,Not applicable,RW
Segment.117.EventOutput,Event Output,uint8,0x276c,10092,Not applicable,RW
Segment.117.HoldbackType,Holdback Type,uint8,0x276d,10093,Not applicable,RW
Segment.117.HoldbackValue,Holdback Value,float32,0x276e,10094,Same as Programmer.Run.PVInput,RW
Segment.118.SegmentType,Segment Type,uint8,0x2770,10096,Not applicable,RW
Segment.118.TargetSetpoint,Target Setpoint,float32,0x2771,10097,Same as Programmer.Run.PVInput,RW
Segment.118.RampRate,Ramp Rate,float32,0x2772,10098,Same as Programmer.Setup.RateResolution,RW
Segment.118.TimeToTarget,Time To Target,time_t,0x2772,10098,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.118.Duration,Dwell Duration,time_t,0x2772,10098,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.118.CallProgram,Call Program,uint8,0x2773,10099,Not applicable,RW
Segment.118.CallCycles,Call Cycles,int16,0x2774,10100,Not applicable,RW
Segment.118.EventOutput,Event Output,uint8,0x2774,10100,Not applicable,RW
Segment.118.HoldbackType,Holdback Type,uint8,0x2775,10101,Not applicable,RW
Segment.118.HoldbackValue,Holdback Value,float32,0x2776,10102,Same as Programmer.Run.PVInput,RW
Segment.119.SegmentType,Segment Type,uint8,0x2778,10104,Not applicable,RW
Segment.119.TargetSetpoint,Target Setpoint,float32,0x2779,10105,Same as Programmer.Run.PVInput,RW
Segment.119.RampRate,Ramp Rate,float32,0x277a,10106,Same as Programmer.Setup.RateResolution,RW
Segment.119.TimeToTarget,Time To Target,time_t,0x277a,10106,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.119.Duration,Dwell Duration,time_t,0x277a,10106,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.119.CallProgram,Call Program,uint8,0x277b,10107,Not applicable,RW
Segment.119.CallCycles,Call Cycles,int16,0x277c,10108,Not applicable,RW
Segment.119.EventOutput,Event Output,uint8,0x277c,10108,Not applicable,RW
Segment.119.HoldbackType,Holdback Type,uint8,0x277d,10109,Not applicable,RW
Segment.119.HoldbackValue,Holdback Value,float32,0x277e,10110,Same as Programmer.Run.PVInput,RW
Segment.120.SegmentType,Segment Type,uint8,0x2780,10112,Not applicable,RW
Segment.120.TargetSetpoint,Target Setpoint,float32,0x2781,10113,Same as Programmer.Run.PVInput,RW
Segment.120.RampRate,Ramp Rate,float32,0x2782,10114,Same as Programmer.Setup.RateResolution,RW
Segment.120.TimeToTarget,Time To Target,time_t,0x2782,10114,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.120.Duration,Dwell Duration,time_t,0x2782,10114,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.120.CallProgram,Call Program,uint8,0x2783,10115,Not applicable,RW
Segment.120.CallCycles,Call Cycles,int16,0x2784,10116,Not applicable,RW
Segment.120.EventOutput,Event Output,uint8,0x2784,10116,Not applicable,RW
Segment.120.HoldbackType,Holdback Type,uint8,0x2785,10117,Not applicable,RW
Segment.120.HoldbackValue,Holdback Value,float32,0x2786,10118,Same as Programmer.Run.PVInput,RW
Segment.121.SegmentType,Segment Type,uint8,0x2788,10120,Not applicable,RW
Segment.121.TargetSetpoint,Target Setpoint,float32,0x2789,10121,Same as Programmer.Run.PVInput,RW
Segment.121.RampRate,Ramp Rate,float32,0x278a,10122,Same as Programmer.Setup.RateResolution,RW
Segment.121.TimeToTarget,Time To Target,time_t,0x278a,10122,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.121.Duration,Dwell Duration,time_t,0x278a,10122,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.121.CallProgram,Call Program,uint8,0x278b,10123,Not applicable,RW
Segment.121.CallCycles,Call Cycles,int16,0x278c,10124,Not applicable,RW
Segment.121.EventOutput,Event Output,uint8,0x278c,10124,Not applicable,RW
Segment.121.HoldbackType,Holdback Type,uint8,0x278d,10125,Not applicable,RW
Segment.121.HoldbackValue,Holdback Value,float32,0x278e,10126,Same as Programmer.Run.PVInput,RW
Segment.122.SegmentType,Segment Type,uint8,0x2790,10128,Not applicable,RW
Segment.122.TargetSetpoint,Target Setpoint,float32,0x2791,10129,Same as Programmer.Run.PVInput,RW
Segment.122.RampRate,Ramp Rate,float32,0x2792,10130,Same as Programmer.Setup.RateResolution,RW
Segment.122.TimeToTarget,Time To Target,time_t,0x2792,10130,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.122.Duration,Dwell Duration,time_t,0x2792,10130,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.122.CallProgram,Call Program,uint8,0x2793,10131,Not applicable,RW
Segment.122.CallCycles,Call Cycles,int16,0x2794,10132,Not applicable,RW
Segment.122.EventOutput,Event Output,uint8,0x2794,10132,Not applicable,RW
Segment.122.HoldbackType,Holdback Type,uint8,0x2795,10133,Not applicable,RW
Segment.122.HoldbackValue,Holdback Value,float32,0x2796,10134,Same as Programmer.Run.PVInput,RW
Segment.123.SegmentType,Segment Type,uint8,0x2798,10136,Not applicable,RW
Segment.123.TargetSetpoint,Target Setpoint,float32,0x2799,10137,Same as Programmer.Run.PVInput,RW
Segment.123.RampRate,Ramp Rate,float32,0x279a,10138,Same as Programmer.Setup.RateResolution,RW
Segment.123.TimeToTarget,Time To Target,time_t,0x279a,10138,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.123.Duration,Dwell Duration,time_t,0x279a,10138,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.123.CallProgram,Call Program,uint8,0x279b,10139,Not applicable,RW
Segment.123.CallCycles,Call Cycles,int16,0x279c,10140,Not applicable,RW
Segment.123.EventOutput,Event Output,uint8,0x279c,10140,Not applicable,RW
Segment.123.HoldbackType,Holdback Type,uint8,0x279d,10141,Not applicable,RW
Segment.123.HoldbackValue,Holdback Value,float32,0x279e,10142,Same as Programmer.Run.PVInput,RW
Segment.124.SegmentType,Segment Type,uint8,0x27a0,10144,Not applicable,RW
Segment.124.TargetSetpoint,Target Setpoint,float32,0x27a1,10145,Same as Programmer.Run.PVInput,RW
Segment.124.RampRate,Ramp Rate,float32,0x27a2,10146,Same as Programmer.Setup.RateResolution,RW
Segment.124.TimeToTarget,Time To Target,time_t,0x27a2,10146,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.124.Duration,Dwell Duration,time_t,0x27a2,10146,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.124.CallProgram,Call Program,uint8,0x27a3,10147,Not applicable,RW
Segment.124.CallCycles,Call Cycles,int16,0x27a4,10148,Not applicable,RW
Segment.124.EventOutput,Event Output,uint8,0x27a4,10148,Not applicable,RW
Segment.124.HoldbackType,Holdback Type,uint8,0x27a5,10149,Not applicable,RW
Segment.124.HoldbackValue,Holdback Value,float32,0x27a6,10150,Same as Programmer.Run.PVInput,RW
